0
0
0
0
0
0
0
0
0
0
0
0
3,05E-05
-3,05E-05
0
0
0
0
0
0
0
0
-3,05E-05
0
0
0
0
0
0
0
0
0
3,05E-05
0
3,05E-05
0
-3,05E-05
3,05E-05
0
0
0
0
0
0
0
-3,05E-05
0
0
0
3,05E-05
-3,05E-05
-3,05E-05
0
0
0
0
0
0
3,05E-05
-3,05E-05
3,05E-05
9,16E-05
3,05E-05
-6,10E-05
0
3,05E-05
0,000213623
-6,10E-05
-0,000152588
-3,05E-05
9,16E-05
9,16E-05
-6,10E-05
-0,000274658
-0,000183105
0,000396729
3,05E-05
-0,000366211
-0,00012207
0,000183105
0,00012207
0,000244141
-0,000152588
-0,000183105
0,000305176
0,000274658
0,000396729
0,000152588
-0,00100708
-9,16E-05
0,000610352
-0,000244141
9,16E-05
-0,000152588
-0,001190186
-3,05E-05
0,00088501
0,000305176
-0,000671387
-0,000457764
0,000457764
0,000640869
-0,000244141
-0,000152588
6,10E-05
0
0,001495361
0,000427246
-0,001739502
-0,000793457
0,001922607
0,00088501
-0,00088501
-0,001586914
0,000213623
0,001434326
-0,000183105
-0,001495361
-0,001800537
-0,000366211
0,000183105
0,00012207
0,001464844
0,000732422
-0,00177002
0,000274658
0,004455566
0,000366211
-0,001342773
-0,001800537
0,00100708
0,004638672
-0,001098633
-0,001861572
-0,003631592
-0,000183105
0,003570557
-0,002044678
-0,004852295
-0,002471924
0,004669189
0,00378418
-0,002441406
-0,003967285
-0,002746582
0,003479004
0,007659912
0,002868652
-0,00177002
-0,005737305
0,000457764
0,009338379
-0,004943848
-0,005645752
0,006011963
-0,00189209
0,000762939
-0,000183105
-0,003936768
-0,005554199
-0,002807617
0,00692749
0,000976563
-0,004180908
-0,001220703
0,000152588
0,005737305
0,004760742
0,00177002
0,000152588
-0,00213623
0,002166748
0,00189209
-0,003997803
-0,002258301
0,004089355
-0,003082275
0,001556396
0,001647949
-0,014343262
-0,001953125
0,007415771
-0,00112915
-0,001800537
0,004180908
-0,005004883
0,004119873
0,001739502
-0,008209229
-0,004455566
0,013000488
0,018096924
